title,artist,top genre,year,bpm,energy,danceability,live,valence,duration,acousticness,speechiness,popularity
Little Talks,Of Monsters and Men,folk-pop,2013,103,76,46,15,42,267,2,3,79
Try,P!nk,dance pop,2013,104,62,68,10,56,250,0,3,79
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,34,54,230,4,16,79
Treasure,Bruno Mars,dance pop,2013,116,69,87,32,94,179,4,4,78
Wagon Wheel,Darius Rucker,black americana,2013,148,66,54,14,58,298,46,3,78
Heart Attack,Demi Lovato,pop,2013,174,78,50,28,53,212,7,7,78
Wrecking Ball,Miley Cyrus,pop,2013,120,42,53,11,35,221,41,3,78
Still into You,Paramore,candy pop,2013,136,92,60,6,77,216,1,4,78
Power Trip (feat. Miguel),J. Cole,conscious hip hop,2013,100,61,67,43,48,241,32,22,77
Roar,Katy Perry,pop,2013,90,78,67,49,44,223,1,3,77
Die Young,Kesha,dance pop,2013,128,70,71,22,80,212,0,5,77
Royals,Lorde,art pop,2013,85,43,67,13,34,190,12,12,77
One More Night,Maroon 5,pop,2013,93,82,72,8,62,220,6,3,77
Troublemaker (feat. Flo Rida),Olly Murs,dance pop,2013,106,86,76,13,97,186,2,6,77
Let Her Go,Passenger,folk-pop,2013,75,55,48,10,24,253,37,7,77
Scream & Shout,will.i.am,dance pop,2013,130,69,77,13,50,283,2,7,77
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,east coast hip hop,2013,96,69,85,11,66,234,2,28,76
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,6,58,213,20,11,76
Applause,Lady Gaga,art pop,2013,140,78,67,10,70,212,3,5,76
We Can't Stop,Miley Cyrus,pop,2013,80,62,61,37,48,231,1,3,76
Girl on Fire,Alicia Keys,neo soul,2013,93,71,48,11,14,225,14,6,75
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,emo,2013,152,92,56,54,57,187,3,6,75
Crash My Party,Luke Bryan,contemporary country,2013,144,82,53,22,41,235,3,4,75
I Knew You Were Trouble.,Taylor Swift,pop,2013,77,47,62,4,68,218,0,4,75
22,Taylor Swift,pop,2013,104,73,66,8,67,230,0,4,75
Best Song Ever,One Direction,boy band,2013,118,88,65,8,49,200,2,5,74
Diamonds,Rihanna,barbadian pop,2013,92,67,55,14,41,225,0,4,74
Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,8,84,264,0,4,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,7,29,228,0,10,73
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,15,84,155,1,3,73
Stay,Rihanna,barbadian pop,2013,112,31,62,12,13,241,95,3,73
Clarity,Zedd,complextro,2013,128,78,51,7,18,271,4,7,73
Sail,AWOLNATION,la indie,2013,119,44,83,10,27,259,44,6,72
I Need Your Love (feat. Ellie Goulding),Calvin Harris,dance pop,2013,125,87,70,24,58,235,41,5,72
It's Time,Imagine Dragons,modern rock,2013,105,88,66,14,86,240,2,4,72
"Gone, Gone, Gone",Phillip Phillips,folk-pop,2013,118,64,66,11,50,210,13,4,72
Gangnam Style (강남스타일),PSY,k-rap,2013,132,94,73,9,75,219,0,29,72
The A Team,Ed Sheeran,pop,2013,85,29,64,18,41,258,67,4,71
That's My Kind Of Night,Luke Bryan,contemporary country,2013,110,75,66,11,90,190,6,5,71
Daylight,Maroon 5,pop,2013,120,67,66,26,37,225,0,3,70
I Will Wait,Mumford & Sons,modern folk rock,2013,131,77,49,20,39,277,1,3,70
Come & Get It,Selena Gomez,pop,2013,80,79,55,10,58,232,1,5,69
Home,Phillip Phillips,folk-pop,2013,121,83,61,12,33,210,3,3,68
Pour It Up,Rihanna,barbadian pop,2013,134,48,79,9,39,161,3,4,68
Boys 'Round Here (feat. Pistol Annies & Friends),Blake Shelton,classic oklahoma country,2013,170,69,61,25,65,289,25,5,67
I Cry,Flo Rida,dance pop,2013,126,82,69,32,76,224,1,4,67
Some Nights,fun.,baroque pop,2013,108,74,67,9,39,277,2,5,67
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,37,25,252,25,4,67
Mama's Broken Heart,Miranda Lambert,contemporary country,2013,112,81,77,14,75,178,28,6,66
Highway Don't Care,Tim McGraw,contemporary country,2013,158,79,48,8,51,279,3,4,66
The Way,Ariana Grande,pop,2013,82,88,65,8,86,227,29,11,65
Suit & Tie (feat. Jay-Z),Justin Timberlake,dance pop,2013,102,60,80,16,36,326,10,22,65
Adorn,Miguel,r&b,2013,179,59,62,13,22,196,7,18,65
Runnin' Outta Moonlight,Randy Houser,contemporary country,2013,172,80,53,6,77,194,4,4,65
Brave,Sara Bareilles,acoustic pop,2013,185,84,55,4,76,221,1,5,65
Berzerk,Eminem,detroit hip hop,2013,95,87,74,26,67,239,2,33,64
It Goes Like This,Thomas Rhett,contemporary country,2013,168,84,54,9,53,188,12,6,64
#thatPOWER,will.i.am,dance pop,2013,128,61,80,7,40,280,0,6,64
Body Party,Ciara,dance pop,2013,134,60,58,13,11,237,2,5,63
Started From the Bottom,Drake,canadian hip hop,2013,86,54,79,26,52,173,4,17,63
Wanted,Hunter Hayes,contemporary country,2013,170,48,42,8,30,229,27,3,63
Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Anna Kendrick,hollywood,2013,130,44,89,3,72,127,5,12,62
The Fox (What Does the Fox Say?),Ylvis,comic,2013,128,87,70,12,55,214,11,5,62
I Want Crazy - Encore,Hunter Hayes,contemporary country,2013,103,88,56,11,56,237,5,4,61
Holy Grail,JAY-Z,east coast hip hop,2013,145,53,68,26,16,338,6,8,61
Get Your Shine On,Florida Georgia Line,contemporary country,2013,97,93,50,41,61,222,0,4,60
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,pop rap,2013,85,48,62,10,31,320,72,17,60
Bugatti,Ace Hood,dirty south rap,2013,130,59,60,10,7,269,2,5,59
Love Somebody,Maroon 5,pop,2013,120,78,68,12,40,230,13,4,59
The Other Side,Jason Derulo,dance pop,2013,128,84,56,14,52,227,5,10,58
Sure Be Cool If You Did,Blake Shelton,classic oklahoma country,2013,137,73,58,11,58,216,26,4,57
Carry On,fun.,baroque pop,2013,145,69,39,8,37,278,12,7,57
Cruise,Florida Georgia Line,contemporary country,2013,148,95,46,5,88,209,2,4,56
Downtown,Lady A,contemporary country,2013,170,83,53,30,96,196,19,5,56
I'm Different,2 Chainz,atl hip hop,2013,98,70,94,8,70,207,5,6,55
Next To Me,Emeli Sandé,r&b,2013,95,80,66,11,35,197,9,4,55
#Beautiful,Mariah Carey,dance pop,2013,214,76,44,30,43,200,32,12,55
"U.O.E.N.O. (feat. Future, Rick Ross)",Rocko,atl hip hop,2013,186,65,42,78,67,263,40,32,55
Harlem Shake,Baauer,electro house,2013,138,79,45,42,28,197,1,5,54
Catch My Breath,Kelly Clarkson,dance pop,2013,124,95,69,9,52,252,3,7,49
Bad (feat. Tiara Thomas),Wale,pop rap,2013,114,64,87,16,28,256,2,6,48
Sweater Weather,The Neighbourhood,modern alternative rock,2014,124,81,61,10,40,240,5,3,90
A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,21,16,268,1,3,87
Summer,Calvin Harris,dance pop,2014,128,86,60,14,74,223,2,3,86
Counting Stars,OneRepublic,piano rock,2014,122,71,66,12,47,258,7,4,86
Wake Me Up,Avicii,dance pop,2014,124,78,53,16,64,247,0,5,85
Demons,Imagine Dragons,modern rock,2014,90,71,50,27,42,178,19,3,84
Maps,Maroon 5,pop,2014,120,71,74,6,88,190,2,3,84
Timber,Pitbull,dance pop,2014,130,97,59,14,83,204,4,10,84
All of Me,John Legend,neo soul,2014,120,26,42,13,33,270,92,3,83
Rude,MAGIC!,pop,2014,144,81,74,31,90,225,4,4,83
Story of My Life,One Direction,boy band,2014,121,66,60,12,29,245,23,5,83
Classic,MKTO,pop,2014,102,79,72,16,76,175,4,12,82
Stay With Me,Sam Smith,pop,2014,84,42,41,11,19,173,59,4,82
Radioactive,Imagine Dragons,modern rock,2014,136,78,45,67,24,187,10,6,80
Chandelier,Sia,australian dance,2014,117,79,40,7,57,216,2,5,80
Best Day Of My Life,American Authors,modern rock,2014,100,90,67,6,54,194,6,3,79
Dark Horse,Katy Perry,pop,2014,132,59,65,17,35,216,0,5,79
Animals,Maroon 5,pop,2014,190,74,28,59,33,231,0,9,79
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,9,96,233,22,18,79
Shake It Off,Taylor Swift,pop,2014,160,80,65,33,94,219,6,17,79
Shower,Becky G,latin pop,2014,120,53,70,28,12,206,3,5,78
The Monster,Eminem,detroit hip hop,2014,110,85,78,12,63,250,5,7,78
Wrecking Ball,Miley Cyrus,pop,2014,120,42,53,11,35,221,41,3,78
Hey Brother,Avicii,dance pop,2014,125,78,55,8,46,255,3,4,77
Bang Bang,Jessie J,dance pop,2014,150,75,70,40,70,199,28,9,77
Roar,Katy Perry,pop,2014,90,78,67,49,44,223,1,3,77
Royals,Lorde,art pop,2014,85,43,67,13,34,190,12,12,77
Am I Wrong,Nico & Vinz,afrobeats,2014,120,68,73,16,76,248,16,3,77
Let Her Go,Passenger,folk-pop,2014,75,55,48,10,24,253,37,7,77
Latch,Disclosure,edm,2014,122,73,50,9,53,256,2,17,76
Break Free,Ariana Grande,pop,2014,130,70,69,20,29,215,1,5,75
Pompeii,Bastille,metropopolis,2014,127,72,68,27,57,214,8,4,75
Rather Be (feat. Jess Glynne),Clean Bandit,pop,2014,121,59,80,19,55,228,16,4,75
American Kids,Kenny Chesney,contemporary country,2014,85,59,78,4,85,183,5,8,75
Play It Again,Luke Bryan,contemporary country,2014,144,89,51,7,60,227,10,7,75
Me And My Broken Heart,Rixton,post-teen pop,2014,174,77,54,26,54,194,1,3,75
Problem,Ariana Grande,pop,2014,103,81,66,16,63,194,2,15,74
Loyal (feat. Lil Wayne & Tyga),Chris Brown,r&b,2014,99,52,84,19,62,265,2,5,74
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,hollywood,2014,137,49,54,12,37,224,56,3,74
Team,Lorde,art pop,2014,100,58,69,31,41,193,17,11,74
All About That Bass,Meghan Trainor,hip pop,2014,134,89,81,12,96,188,6,5,74
Blurred Lines,Robin Thicke,dance pop,2014,120,50,86,8,88,263,0,5,74
"Hold On, We're Going Home",Drake,canadian hip hop,2014,100,41,77,7,29,228,0,10,73
Burn,Ellie Goulding,indietronica,2014,87,76,31,11,34,231,30,6,73
Habits (Stay High),Tove Lo,dance pop,2014,110,65,73,8,35,209,7,3,73
Don't Tell 'Em,Jeremih,chicago rap,2014,98,53,86,11,39,267,39,10,72
La La La,Naughty Boy,uk contemporary r&b,2014,125,68,75,11,25,221,11,3,72
Ain't It Fun,Paramore,candy pop,2014,104,89,61,2,67,297,15,9,72
2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,2014,101,60,74,11,43,227,15,11,72
Drunk in Love (feat. Jay-Z),Beyoncé,pop,2014,140,62,58,18,40,323,1,5,71
Cool Kids,Echosmith,electropop,2014,130,67,72,12,79,238,4,3,71
New Flame (feat. Usher & Rick Ross),Chris Brown,r&b,2014,142,63,70,10,45,244,5,4,70
Don't,Ed Sheeran,pop,2014,95,61,81,64,85,220,1,7,70
This Is How We Roll,Florida Georgia Line,contemporary country,2014,132,93,56,41,72,221,2,4,70
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,31,76,178,3,23,70
Love Never Felt So Good,Michael Jackson,r&b,2014,118,72,78,7,71,246,13,4,70
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,33,44,202,0,13,69
Say Something,A Great Big World,neo mellow,2014,141,15,41,9,8,229,86,4,69
Drunk On A Plane,Dierks Bentley,contemporary country,2014,206,73,42,24,66,254,0,3,69
Turn Down for What,DJ Snake,dance pop,2014,100,80,82,6,8,214,0,16,69
Bailando - Spanish Version,Enrique Iglesias,dance pop,2014,91,79,72,4,96,243,5,11,69
Partition,Beyoncé,pop,2014,176,44,42,31,17,319,3,28,68
Hot N*gga,Bobby Shmurda,nyc rap,2014,168,51,79,6,18,195,5,42,68
Sing,Ed Sheeran,pop,2014,120,67,82,6,94,235,30,5,68
Show Me (feat. Chris Brown),Kid Ink,pop rap,2014,98,51,71,14,66,218,4,5,68
Adore You,Miley Cyrus,pop,2014,120,66,58,11,20,279,11,3,68
Lifestyle,Rich Gang,atl hip hop,2014,88,67,55,9,47,270,2,27,68
Animals,Martin Garrix,dutch edm,2014,128,87,68,37,4,304,0,4,67
23,Mike WiLL Made-It,atl hip hop,2014,140,60,86,13,32,253,0,6,67
Studio,ScHoolboy Q,gangster rap,2014,134,59,71,6,58,278,5,4,67
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69,14,82,207,12,7,67
0 To 100 / The Catch Up,Drake,canadian hip hop,2014,177,72,56,25,50,275,74,39,66
Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,5,38,200,9,7,66
Come with Me Now,KONGOS,modern alternative rock,2014,104,73,65,6,73,212,3,4,66
My Nigga,YG,cali rap,2014,171,48,68,21,76,236,8,21,66
Anaconda,Nicki Minaj,hip pop,2014,130,60,96,21,65,260,7,18,65
Brave,Sara Bareilles,acoustic pop,2014,185,84,55,4,76,221,1,5,65
Bottoms Up,Brantley Gilbert,contemporary country,2014,170,86,48,13,55,221,11,4,64
Boom Clap,Charli xcx,art pop,2014,92,91,66,19,58,170,15,8,64
Black Widow,Iggy Azalea,australian hip hop,2014,164,72,74,11,51,209,19,16,64
Burnin' It Down,Jason Aldean,contemporary country,2014,136,80,68,11,64,219,31,5,64
I Don't Dance,Lee Brice,contemporary country,2014,92,56,59,10,19,221,40,3,64
Trumpets,Jason Derulo,dance pop,2014,82,70,63,10,64,217,56,24,63
White Walls (feat. ScHoolboy Q & Hollis),Macklemore & Ryan Lewis,pop rap,2014,116,78,77,34,84,220,5,14,63
Somethin' Bad (with Carrie Underwood) - Duet with Carrie Underwood [Album],Miranda Lambert,contemporary country,2014,90,89,68,6,48,170,5,6,63
Na Na,Trey Songz,dance pop,2014,97,48,67,10,24,232,33,4,63
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,16,72,193,8,25,62
Love Runs Out,OneRepublic,piano rock,2014,120,94,72,10,74,224,17,6,62
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,9,46,217,11,4,62
Leave The Night On,Sam Hunt,contemporary country,2014,172,95,51,35,84,192,10,6,61
Beachin',Jake Owen,contemporary country,2014,182,90,53,7,71,191,34,6,60
Birthday,Katy Perry,pop,2014,126,67,72,11,84,215,9,7,60
The Man,Aloe Blacc,pop soul,2014,86,76,53,23,47,256,3,4,59
Dirt,Florida Georgia Line,contemporary country,2014,122,88,55,11,59,231,6,5,59
Amnesia,5 Seconds of Summer,boy band,2014,102,50,59,16,10,237,3,3,58
Do What U Want,Lady Gaga,art pop,2014,97,80,78,9,53,217,35,9,58
Believe Me,Lil Wayne,hip hop,2014,92,49,84,11,19,338,27,17,58
No Mediocre (feat. Iggy Azalea),T.I.,atl hip hop,2014,95,45,78,8,18,202,8,5,53
Not a Bad Thing,Justin Timberlake,dance pop,2014,85,72,34,42,44,267,31,17,52
Bartender,Lady A,contemporary country,2014,101,93,63,33,65,198,2,3,38
Night Changes,One Direction,boy band,2015,120,52,67,12,37,227,86,4,87
Shut Up and Dance,WALK THE MOON,dance rock,2015,128,87,58,26,62,199,1,6,86
Time of Our Lives,Pitbull,dance pop,2015,124,80,72,69,72,229,9,6,84
The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,59,14,14,242,7,5,84
Take Me to Church,Hozier,irish singer-songwriter,2015,129,66,57,12,44,242,64,5,83
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,39,34,213,4,7,83
Budapest,George Ezra,folk-pop,2015,128,46,72,11,39,201,8,3,83
Uptown Funk (feat. Bruno Mars),Mark Ronson,pop soul,2015,115,61,86,3,93,270,1,8,82
Stay With Me,Sam Smith,pop,2015,84,42,41,11,19,173,59,4,82
Riptide,Vance Joy,folk-pop,2015,102,73,48,15,51,204,43,4,82
Photograph,Ed Sheeran,pop,2015,108,38,61,10,20,259,61,5,82
One Last Time,Ariana Grande,pop,2015,125,59,63,10,10,197,9,3,82
I'm Not The Only One,Sam Smith,pop,2015,82,48,68,8,49,239,53,4,82
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,reggae fusion,2015,118,58,83,7,41,180,18,4,81
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,108,77,71,11,58,214,11,4,81
Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,18,59,282,47,3,80
Drag Me Down,One Direction,boy band,2015,138,70,73,7,60,192,11,4,80
Chandelier,Sia,australian dance,2015,117,79,40,7,57,216,2,5,80
Centuries,Fall Out Boy,emo,2015,176,86,39,10,56,228,0,7,80
Blank Space,Taylor Swift,pop,2015,96,70,76,9,57,232,10,5,80
What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,8,79,206,59,10,79
Sugar,Maroon 5,pop,2015,120,79,75,9,88,235,6,3,79
Style,Taylor Swift,pop,2015,95,79,59,12,49,231,0,4,79
Stitches,Shawn Mendes,canadian pop,2015,150,75,75,5,76,207,2,6,79
Shake It Off,Taylor Swift,pop,2015,160,80,65,33,94,219,6,17,79
Locked Away (feat. Adam Levine),R. City,reggae fusion,2015,118,67,51,5,55,227,30,7,79
Animals,Maroon 5,pop,2015,190,74,28,59,33,231,0,9,79
Wildest Dreams,Taylor Swift,pop,2015,140,66,55,11,47,220,7,7,77
Waves - Robin Schulz Radio Edit,Mr. Probz,pop dance,2015,120,51,83,8,45,208,1,4,77
Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,11,66,208,1,6,77
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,6,29,230,37,8,77
Love Me Harder,Ariana Grande,pop,2015,99,71,49,8,24,236,1,3,77
Cool for the Summer,Demi Lovato,pop,2015,114,61,58,14,34,215,0,4,77
Hotline Bling,Drake,canadian hip hop,2015,135,63,89,5,55,267,0,6,76
FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,13,35,188,88,5,76
Dear Future Husband,Meghan Trainor,hip pop,2015,79,78,66,32,83,184,38,19,76
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,hip pop,2015,108,53,63,18,42,225,40,4,75
Trap Queen,Fetty Wap,new jersey rap,2015,148,87,75,35,82,222,2,13,74
Renegades,X Ambassadors,modern alternative rock,2015,90,86,53,23,53,195,1,9,74
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,indietronica,2015,190,61,26,13,28,253,25,5,74
Lean On,Major Lazer,dance pop,2015,98,81,72,56,27,177,0,6,74
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,big room,2015,86,73,60,33,53,193,24,15,74
Elastic Heart,Sia,australian dance,2015,130,79,42,15,50,257,1,5,74
El Perdón - Forgiveness,Nicky Jam,latin hip hop,2015,90,72,74,9,65,207,26,4,74
All About That Bass,Meghan Trainor,hip pop,2015,134,89,81,12,96,188,6,5,74
679 (feat. Remy Boyz),Fetty Wap,new jersey rap,2015,190,72,62,63,60,197,0,32,74
Where Are Ü Now (with Justin Bieber),Jack Ü,edm,2015,139,78,43,8,20,250,4,6,73
Habits (Stay High),Tove Lo,dance pop,2015,110,65,73,8,35,209,7,3,73
Fight Song,Rachel Platten,post-teen pop,2015,176,70,57,28,36,203,5,8,73
Bitch Better Have My Money,Rihanna,barbadian pop,2015,103,73,78,26,40,219,5,6,73
Bad Blood,Taylor Swift,pop,2015,170,66,65,14,22,200,3,11,73
Worth It (feat. Kid Ink),Fifth Harmony,girl group,2015,100,77,88,12,59,225,6,9,72
I Don't Fuck With You,Big Sean,detroit hip hop,2015,98,73,82,33,40,284,4,6,72
Hello,Adele,british soul,2015,79,43,58,9,29,296,33,3,72
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,10,43,252,39,3,72
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,dance pop,2015,146,83,66,7,69,190,0,7,71
You Know You Like It,DJ Snake,dance pop,2015,196,73,41,31,25,247,1,19,70
Ex's & Oh's,Elle King,modern blues rock,2015,140,90,63,5,46,202,2,8,70
Don't,Ed Sheeran,pop,2015,95,61,81,64,85,220,1,7,70
Ayo,Chris Brown,r&b,2015,98,56,82,9,68,225,4,4,70
House Party,Sam Hunt,contemporary country,2015,104,86,75,3,86,190,11,5,69
"Honey, I'm Good.",Andy Grammer,neo mellow,2015,122,80,75,34,58,199,3,6,69
Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,8,33,199,8,10,69
The Heart Wants What It Wants,Selena Gomez,pop,2015,83,79,62,14,62,227,5,4,68
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2015,97,68,73,21,70,227,7,4,68
No Type,Rae Sremmurd,melodic rap,2015,125,49,89,9,23,200,2,16,68
Lips Are Movin,Meghan Trainor,hip pop,2015,139,83,78,11,95,183,5,5,68
Lay Me Down,Sam Smith,pop,2015,119,33,42,11,17,253,77,5,68
Uma Thurman,Fall Out Boy,emo,2015,150,96,62,26,67,212,10,9,67
She Knows,Ne-Yo,dance pop,2015,140,57,71,59,57,215,3,3,67
Jealous,Nick Jonas,dance pop,2015,93,70,70,46,38,223,1,16,67
Back To Back,Drake,canadian hip hop,2015,87,48,89,12,38,171,1,36,67
11-Jul,Beyoncé,pop,2015,136,71,75,13,56,214,1,13,67
The Hanging Tree,James Newton Howard,orchestral soundtrack,2015,54,7,21,21,14,219,34,4,66
Talking Body,Tove Lo,dance pop,2015,120,76,74,8,11,238,10,3,66
Slow Motion,Trey Songz,dance pop,2015,95,41,73,11,29,198,68,4,66
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,pop,2015,110,62,79,34,83,188,45,5,66
Girl Crush,Little Big Town,contemporary country,2015,174,23,50,11,36,193,84,3,66
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,pop rap,2015,110,61,83,29,71,293,9,7,66
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,2015,78,66,59,12,25,224,2,20,66
Good For You,Selena Gomez,pop,2015,89,68,61,9,21,222,18,5,65
Somebody,Natalie La Rose,chicago rap,2015,105,52,83,7,74,190,0,4,64
My Way (feat. Monty),Fetty Wap,new jersey rap,2015,128,74,75,15,54,213,0,5,64
I Don't Mind (feat. Juicy J),USHER,atl hip hop,2015,113,46,87,9,46,252,21,18,64
Watch Me (Whip / Nae Nae),Silentó,chicago bop,2015,140,76,82,32,96,185,25,12,63
Kick The Dust Up,Luke Bryan,contemporary country,2015,172,86,60,9,82,191,20,5,63
Truffle Butter,Nicki Minaj,hip pop,2015,105,67,89,11,52,220,6,5,62
Take Your Time,Sam Hunt,contemporary country,2015,158,72,56,21,48,244,10,4,62
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,atl hip hop,2015,82,61,73,19,89,177,4,5,62
Only,Nicki Minaj,hip pop,2015,120,49,81,10,26,312,41,57,61
Tuesday (feat. Drake),ILOVEMAKONNEN,atl hip hop,2015,140,66,77,11,47,322,22,21,60
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,6,48,199,1,5,60
Ghost,Ella Henderson,dance pop,2015,105,84,68,8,49,216,5,4,60
Bang Bang,Jessie J,dance pop,2015,150,75,70,40,70,199,28,9,59
CoCo,O.T. Genasis,southern hip hop,2015,120,63,89,31,18,240,0,13,58
Blessings,Big Sean,detroit hip hop,2015,119,62,79,12,15,252,33,28,58
Nasty Freestyle,T-Wayne,houston rap,2015,135,47,78,11,41,142,6,22,56
Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,2015,94,59,79,29,59,226,19,3,56
Hit the Quan - Original Version,iLoveMemphis,chicago bop,2015,160,49,74,5,63,181,0,36,55
Chains,Nick Jonas,dance pop,2015,76,61,59,8,12,203,2,5,55
Starboy,The Weeknd,canadian contemporary r&b,2016,186,59,68,14,49,230,14,28,88
One Dance,Drake,canadian hip hop,2016,104,63,79,33,37,174,1,5,87
Closer,The Chainsmokers,pop,2016,95,52,75,11,66,245,41,3,85
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,15,47,222,20,3,85
Stressed Out,Twenty One Pilots,modern rock,2016,170,64,73,6,65,202,5,14,84
Ride,Twenty One Pilots,modern rock,2016,75,71,65,11,57,215,1,4,84
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,59,14,14,242,7,5,84
Hymn for the Weekend,Coldplay,permanent wave,2016,90,69,49,33,41,258,21,4,84
Treat You Better,Shawn Mendes,canadian pop,2016,83,82,44,11,77,188,11,34,83
Don't,Bryson Tiller,kentucky hip hop,2016,97,36,77,10,19,198,22,20,83
Let Me Love You,DJ Snake,dance pop,2016,200,72,48,14,16,206,9,6,83
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,28,52,234,84,44,82
Sorry,Justin Bieber,canadian pop,2016,100,76,66,30,41,201,8,5,82
7 Years,Lukas Graham,danish pop,2016,120,47,77,39,34,237,29,5,82
Cake By The Ocean,DNCE,dance pop,2016,119,75,77,4,90,219,15,5,81
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2016,108,77,71,11,58,214,11,4,81
Don't Let Me Down,The Chainsmokers,pop,2016,160,87,53,14,43,208,16,17,80
"Me, Myself & I",G-Eazy,indie pop rap,2016,112,67,76,16,39,251,2,10,80
Exchange,Bryson Tiller,kentucky hip hop,2016,160,43,53,14,28,195,11,19,80
Stitches,Shawn Mendes,canadian pop,2016,150,75,75,5,76,207,2,6,79
What Do You Mean?,Justin Bieber,canadian pop,2016,125,57,85,8,79,206,59,10,79
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,19,70,236,1,8,76
My House,Flo Rida,dance pop,2016,94,70,69,13,74,192,2,5,76
Hotline Bling,Drake,canadian hip hop,2016,135,63,89,5,55,267,0,6,76
Low Life (feat. The Weeknd),Future,atl hip hop,2016,144,33,72,15,10,314,34,7,76
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,girl group,2016,105,59,80,6,59,214,10,4,75
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,hip pop,2016,108,53,63,18,42,225,40,4,75
White Iverson,Post Malone,dfw rap,2016,130,56,68,8,31,257,23,4,75
Roses,The Chainsmokers,pop,2016,100,80,71,31,34,227,4,6,74
"i hate u, i love u (feat. olivia o'brien)",gnash,alt z,2016,93,28,49,10,18,251,69,30,74
679 (feat. Remy Boyz),Fetty Wap,new jersey rap,2016,190,72,62,63,60,197,0,32,74
Say It,Tory Lanez,canadian hip hop,2016,107,53,55,12,25,238,9,6,74
Middle,DJ Snake,dance pop,2016,105,70,58,5,22,221,1,4,74
Too Good,Drake,canadian hip hop,2016,118,65,79,10,40,263,5,10,73
NO,Meghan Trainor,hip pop,2016,92,80,56,74,66,214,1,21,73
oui,Jeremih,chicago rap,2016,79,72,42,11,60,238,21,10,73
Antidote,Travis Scott,rap,2016,131,53,71,12,12,263,1,3,73
Starving,Hailee Steinfeld,pop,2016,100,62,73,11,51,182,38,6,72
Controlla,Drake,canadian hip hop,2016,92,47,59,10,35,245,8,19,71
Never Forget You,Zara Larsson,pop,2016,146,73,58,27,28,213,0,5,71
In The Night,The Weeknd,canadian contemporary r&b,2016,168,68,51,5,54,236,8,7,71
